species,IS,temp,temp.kT,mass,resp
Limnophora riparia,8,5,-0.736717514,0.494513909,0.003870419
Limnophora riparia,8,5,-0.736717514,1.119519975,0.015939351
Limnophora riparia,8,5,-0.736717514,1.205844317,0.008474097
Limnophora riparia,8,5,-0.736717514,1.347970327,0.012455118
Limnophora riparia,8,5,-0.736717514,1.506847922,0.009820256
Limnophora riparia,8,5,-0.736717514,2.267232671,0.016684778
Limnophora riparia,8,5,-0.736717514,3.411322343,0.022761858
Limnophora riparia,8,10,0,1.347970327,0.007207261
Limnophora riparia,8,10,0,1.347970327,0.013167777
Limnophora riparia,8,10,0,1.347970327,0.029925907
Limnophora riparia,8,10,0,1.623038484,0.018898299
Limnophora riparia,8,10,0,1.954237321,0.01588991
Limnophora riparia,8,10,0,1.954237321,0.038246685
Limnophora riparia,8,10,0,1.954237321,0.043827778
Limnophora riparia,8,10,0,2.353020919,0.010440693
Limnophora riparia,8,10,0,2.833180692,0.015027541
Limnophora riparia,8,10,0,3.411322343,0.034393931
Limnophora riparia,8,15,0.711150361,0.929786769,0.041966213
Limnophora riparia,8,15,0.711150361,1.623038484,0.046017006
Limnophora riparia,8,15,0.711150361,1.954237321,0.018075538
Limnophora riparia,8,15,0.711150361,1.954237321,0.025302152
Limnophora riparia,8,15,0.711150361,1.954237321,0.031947253
Limnophora riparia,8,15,0.711150361,1.954237321,0.05533743
Limnophora riparia,8,15,0.711150361,2.833180692,0.047245747
Limnophora riparia,8,15,0.711150361,2.833180692,0.063862999
Limnophora riparia,8,15,0.711150361,4.10744015,0.070075745
Limnophora riparia,8,20,1.398041798,0.253421796,0.024282785
Limnophora riparia,8,20,1.398041798,0.532645063,0.021457406
Limnophora riparia,8,20,1.398041798,0.641337141,0.036424599
Limnophora riparia,8,20,1.398041798,1.119519975,0.048121669
Limnophora riparia,8,20,1.398041798,1.119519975,0.0574289
Limnophora riparia,8,20,1.398041798,2.353020919,0.067679512
Limnophora riparia,8,20,1.398041798,2.833180692,0.066691086
Limnophora riparia,8,20,1.398041798,2.833180692,0.079440146
Limnophora riparia,8,20,1.398041798,2.833180692,0.09418628
Limnophora riparia,8,20,1.398041798,3.167111583,0.073504439
Limnophora riparia,8,25,2.061894783,0.929786769,0.047545956
Limnophora riparia,8,25,2.061894783,1.623038484,0.094173479
Limnophora riparia,8,25,2.061894783,1.954237321,0.07158561
Limnophora riparia,8,25,2.061894783,1.954237321,0.0945266
Limnophora riparia,8,25,2.061894783,1.954237321,0.102613776
Limnophora riparia,8,25,2.061894783,1.954237321,0.112877592
Limnophora riparia,8,25,2.061894783,2.833180692,0.089750716
Limnophora riparia,8,25,2.061894783,3.167111583,0.116237435
Limnophora riparia,8,25,2.061894783,3.411322343,0.070334366
Limnophora riparia,8,25,2.061894783,3.411322343,0.101138394
Potamophylax cingulatus,11,5,-0.736717514,36.41276818,0.017018545
Potamophylax cingulatus,11,5,-0.736717514,18.44206027,0.028724025
Potamophylax cingulatus,11,5,-0.736717514,23.27417831,0.032019267
Potamophylax cingulatus,11,5,-0.736717514,62.72814311,0.041079486
Potamophylax cingulatus,11,5,-0.736717514,26.65414127,0.052571689
Potamophylax cingulatus,11,5,-0.736717514,23.27417831,0.096152319
Potamophylax cingulatus,11,5,-0.736717514,26.93529396,0.187758917
Potamophylax cingulatus,11,5,-0.736717514,51.93087125,0.358043469
Potamophylax cingulatus,11,5,-0.736717514,11.46265122,0.389797519
Potamophylax cingulatus,11,5,-0.736717514,23.91512899,0.561061673
Potamophylax cingulatus,11,5,-0.736717514,10.24652183,0.607154683
Potamophylax cingulatus,11,5,-0.736717514,36.70625995,1.156413295
Potamophylax cingulatus,11,10,0,19.31442757,0.021685244
Potamophylax cingulatus,11,10,0,23.18966951,0.09896954
Potamophylax cingulatus,11,10,0,26.00639847,0.1501607
Potamophylax cingulatus,11,10,0,16.28816782,0.276744871
Potamophylax cingulatus,11,10,0,11.46265122,0.412239398
Potamophylax cingulatus,11,10,0,10.24652183,0.564856747
Potamophylax cingulatus,11,10,0,40.55292241,0.612021696
Potamophylax cingulatus,11,10,0,31.7322102,0.674235183
Potamophylax cingulatus,11,10,0,23.91512899,0.774737206
Potamophylax cingulatus,11,10,0,54.55145878,0.939950546
Potamophylax cingulatus,11,10,0,23.27417831,1.143616764
Potamophylax cingulatus,11,15,0.711150361,23.27417831,0.243242907
Potamophylax cingulatus,11,15,0.711150361,16.28816782,0.459267162
Potamophylax cingulatus,11,15,0.711150361,10.31672237,0.47181616
Potamophylax cingulatus,11,15,0.711150361,26.00639847,0.614436592
Potamophylax cingulatus,11,15,0.711150361,37.65696304,0.639915969
Potamophylax cingulatus,11,15,0.711150361,23.18966951,0.71048151
Potamophylax cingulatus,11,15,0.711150361,22.31570169,0.768113926
Potamophylax cingulatus,11,15,0.711150361,7.014056452,0.804542729
Potamophylax cingulatus,11,15,0.711150361,23.27417831,0.806811706
Potamophylax cingulatus,11,20,1.398041798,23.27417831,0.382606382
Potamophylax cingulatus,11,20,1.398041798,18.98386163,0.707648881
Potamophylax cingulatus,11,20,1.398041798,15.86752799,0.843611358
Potamophylax cingulatus,11,20,1.398041798,37.65696304,0.926920787
Potamophylax cingulatus,11,20,1.398041798,13.02845784,1.259422023
Potamophylax cingulatus,11,20,1.398041798,15.96389131,1.281119417
Potamophylax cingulatus,11,20,1.398041798,22.97937094,1.294322693
Potamophylax cingulatus,11,20,1.398041798,7.014056452,1.402765712
Potamophylax cingulatus,11,25,2.061894783,15.86752799,0.176292303
Potamophylax cingulatus,11,25,2.061894783,10.31672237,0.403739358
Potamophylax cingulatus,11,25,2.061894783,16.71683324,0.64106606
Potamophylax cingulatus,11,25,2.061894783,21.66603968,0.88914893
Potamophylax cingulatus,11,25,2.061894783,23.48642691,0.96350391
Potamophylax cingulatus,11,25,2.061894783,13.02845784,0.978976936
Potamophylax cingulatus,11,25,2.061894783,31.7322102,1.140447447
Potamophylax cingulatus,11,25,2.061894783,10.1302914,1.39069288
