species,taxonomic_group,locomotion_mode,thermoregulation,body_mass_kg,mass_ref,max_speed_km.h-1,Speed_ref,primary_diet
Aeshna cyanea,arthropod,flying,ectotherm,4.22E-04,28,36,70,carnivore
Anax junius,arthropod,flying,ectotherm,4.50E-04,28,27,70,carnivore
Anax parthenope julius,arthropod,flying,ectotherm,3.90E-04,28,25.92,4,carnivore
Anax sp.,arthropod,flying,ectotherm,0.0138,11,36,11,carnivore
Anopheles ziemanni,arthropod,flying,ectotherm,5.22E-06,92,6.48,36,carnivore
Anthonomus grandis,arthropod,flying,ectotherm,6.86E-06,94,4.8,55,herbivore
Culex pipiens,arthropod,flying,ectotherm,1.30E-06,51,3.6,19,carnivore
Drosophila hydei,arthropod,flying,ectotherm,1.76E-07,64,3.24,25,herbivore
Drosophila melanogaster,arthropod,flying,ectotherm,7.47E-07,11,6.84,11,herbivore
Drosophila melanogaster,arthropod,flying,ectotherm,7.89E-08,64,3.06,52,herbivore
Drosophila virilis,arthropod,flying,ectotherm,2.05E-07,64,4.32,81,herbivore
Eristalis sp.,arthropod,flying,ectotherm,9.00E-05,37,36,20,herbivore
Volucella pellucens,arthropod,flying,ectotherm,1.70E-04,37,36,20,herbivore
Euglossa imperialis,arthropod,flying,ectotherm,0.0015,29,25.56,21,herbivore
Leptocorisa chinensis,arthropod,flying,ectotherm,4.73E-05,42,6,77,herbivore
Manduca sexta,arthropod,flying,ectotherm,0.002,29,19.08,75,herbivore
Manduca sexta,arthropod,flying,ectotherm,0.002,29,18,86,herbivore
Riptortus pedestris,arthropod,flying,ectotherm,6.52E-05,47,10.8,77,herbivore
Tabanus affinis,arthropod,flying,ectotherm,1.01E-04,11,23.76,11,carnivore
Accipiter striatus,bird,flying,endotherm,0.0965,30,64,12,carnivore
Anas acuta,bird,flying,endotherm,0.947,30,82.08,11,omnivore
Anas platyrhynchos,bird,flying,endotherm,1.14,30,105,101,omnivore
Apus apus,bird,flying,endotherm,0.058,11,91.8,11,carnivore
Aquila chrysaetos,bird,flying,endotherm,4.2635,30,129,93,carnivore
Archilochus colubris,bird,flying,endotherm,0.0075,11,40.32,11,herbivore
Buteo jamaicensis,bird,flying,endotherm,1.11,30,195,101,carnivore
Calypte anna,bird,flying,endotherm,0.0044,56,56.16,17,herbivore
Chen caerulescens,bird,flying,endotherm,2.641,30,185,46,herbivore
Columba livia,bird,flying,endotherm,0.3545,30,136.8,101,herbivore
Cygnus columbianus,bird,flying,endotherm,6.75,30,135,31,omnivore
Cygnus columbianus bewickii,bird,flying,endotherm,6.05,11,67.68,11,omnivore
Cygnus cygnus,bird,flying,endotherm,9.35,30,88,39,omnivore
Diomedea exulans,bird,flying,endotherm,8.19,30,127,71,carnivore
Falco peregrinus,bird,flying,endotherm,0.78,30,110,96,carnivore
Fregata aquila,bird,flying,endotherm,1.5,101,153,101,carnivore
Gymnogyps californianus,bird,flying,endotherm,4.49,30,90,101,carnivore
Hirundapus caudacutus,bird,flying,endotherm,0.096,30,170,101,carnivore
Mergus serrator,bird,flying,endotherm,1.02,30,129,101,carnivore
Morus bassanus,bird,flying,endotherm,3,30,100,101,carnivore
Numenius phaeopus,bird,flying,endotherm,0.366,30,83.52,11,carnivore
Nymphicus hollandicus,bird,flying,endotherm,0.088,30,46.8,41,herbivore
Otis tarda,bird,flying,endotherm,10.55,30,80,43,herbivore
Pelecanus onocrotalus,bird,flying,endotherm,9.52,30,82.08,11,carnivore
Phylloscopus trochilus,bird,flying,endotherm,0.0087,30,43.2,11,carnivore
Plectropterus gambensis,bird,flying,endotherm,3.869,30,142,101,omnivore
Somateria mollissima,bird,flying,endotherm,2.07,30,113,101,carnivore
Thalassarche chrysostoma,bird,flying,endotherm,3.51,30,127,14,carnivore
Xanthocephalus xanthocephalus,bird,flying,endotherm,0.0646,30,56.33,23,omnivore
Chalinolobus tuberculatus,mammal,flying,endotherm,0.0085,60,60,60,carnivore
Euderma maculatum,mammal,flying,endotherm,0.0162,56,53,15,carnivore
Glossophaga soricina,mammal,flying,endotherm,0.0103,56,37.8,88,herbivore
Lasiurus borealis,mammal,flying,endotherm,0.013,56,64,62,carnivore
Lasiurus semotus,mammal,flying,endotherm,0.02603,56,54.72,62,carnivore
Nyctinomops macrotis,mammal,flying,endotherm,0.023,56,61,22,carnivore
Tadarida brasiliensis,mammal,flying,endotherm,0.0125,56,96.5,26,carnivore
Agelenopsis aperta,arthropod,running,ectotherm,1.28E-04,3,0.933,66,carnivore
Argiope keyserlingi,arthropod,running,ectotherm,4.02E-06,65,1.2,65,carnivore
Blaberus discoidalis,arthropod,running,ectotherm,0.003,76,1.998,76,omnivore
Carabinae,arthropod,running,ectotherm,8.68E-05,32,2.14,32,carnivore
Carabinae,arthropod,running,ectotherm,8.85E-05,32,2.24,32,carnivore
Carabinae,arthropod,running,ectotherm,7.28E-05,32,2.25,32,carnivore
Carabinae,arthropod,running,ectotherm,1.40E-04,32,2.27,32,carnivore
Cataglyphis sp.,arthropod,running,ectotherm,1.55E-05,83,2.088,40,carnivore
Cicindela eburneola,arthropod,running,ectotherm,3.89E-05,45,6.696,45,carnivore
Cicindela hudsoni,arthropod,running,ectotherm,2.00E-04,45,9,45,carnivore
Cicindela leucothrix,arthropod,running,ectotherm,6.20E-05,45,3.67,45,carnivore
Cicindela repanda,arthropod,running,ectotherm,4.76E-05,87,1.91,35,carnivore
Cicindela saetigera,arthropod,running,ectotherm,7.08E-05,45,5.04,45,carnivore
Cicindela salicursoria,arthropod,running,ectotherm,4.36E-05,45,5.29,45,carnivore
Cicindela velox,arthropod,running,ectotherm,8.60E-05,45,6.95,45,carnivore
Dolomedes fimbriatus,arthropod,running,ectotherm,1.87E-04,9,0.976,9,carnivore
Dolomedes plantarius,arthropod,running,ectotherm,1.79E-04,67,2.7,38,carnivore
Dolomedes triton,arthropod,running,ectotherm,4.00E-04,9,1.14,9,carnivore
Hogna carolinensis (female),arthropod,running,ectotherm,1.26E-04,57,4.5,57,carnivore
Hogna carolinensis (male),arthropod,running,ectotherm,1.02E-04,57,4.73,57,carnivore
Hololena adnexa,arthropod,running,ectotherm,2.64E-05,74,2.16,74,carnivore
Hololena curta,arthropod,running,ectotherm,2.64E-05,74,1.83,74,carnivore
insect,arthropod,running,ectotherm,0.001,7,3.6,7,herbivore
insect,arthropod,running,ectotherm,0.001,7,5.4,7,herbivore
insect,arthropod,running,ectotherm,0.05,7,2.88,7,herbivore
Ocymyrmex barbiger,arthropod,running,ectotherm,4.10E-06,53,1.38,53,omnivore
Paratarsotomus macropalpis,arthropod,running,ectotherm,1.82E-07,89,0.5,89,carnivore
Paratarsotomus macropalpis,arthropod,running,ectotherm,2.68E-07,69,0.63,69,carnivore
Parateneriffia spp.,arthropod,running,ectotherm,3.00E-08,89,0.4716,89,carnivore
Pardosa amentata,arthropod,running,ectotherm,1.10E-05,67,1.476,24,carnivore
Pardosa lugubris,arthropod,running,ectotherm,1.03E-05,67,1.44,13,carnivore
Pardosa valens,arthropod,running,ectotherm,8.50E-05,1,1.53,1,carnivore
Periplaneta americana,arthropod,running,ectotherm,8.30E-04,33,5.4,33,omnivore
Pirata sedentarius (Size class 1),arthropod,running,ectotherm,1.52E-05,2,0.915,2,carnivore
Pirata sedentarius (Size class 2),arthropod,running,ectotherm,2.25E-05,2,0.791,2,carnivore
Pirata sedentarius (Size class 3),arthropod,running,ectotherm,3.62E-05,2,1.22,2,carnivore
Pirata sedentarius (Size class 4),arthropod,running,ectotherm,5.85E-05,2,1.57,2,carnivore
Schizocosa ocreata (Size class 1),arthropod,running,ectotherm,1.78E-05,24,0.621,24,carnivore
Schizocosa ocreata (Size class 2),arthropod,running,ectotherm,2.56E-05,24,1.6,24,carnivore
Schizocosa ocreata (Size class 3),arthropod,running,ectotherm,3.11E-05,24,2.53,24,carnivore
Schizocosa ocreata (Size class 4),arthropod,running,ectotherm,4.49E-05,24,2.64,24,carnivore
Schizocosa ocreata (Size class 5),arthropod,running,ectotherm,5.30E-05,24,2.23,24,carnivore
Servaea incana,arthropod,running,ectotherm,5.36E-05,54,0.9,54,carnivore
Varacosa terricola (Size class 1),arthropod,running,ectotherm,1.76E-04,24,2.57,24,carnivore
Varacosa terricola (Size class 2),arthropod,running,ectotherm,2.87E-04,24,2.57,24,carnivore
Varacosa terricola (Size class 3),arthropod,running,ectotherm,3.20E-04,24,2.5,24,carnivore
Varacosa terricola (Size class 4),arthropod,running,ectotherm,4.87E-04,24,2.72,24,carnivore
Varacosa terricola (Size class 5),arthropod,running,ectotherm,5.28E-04,24,2.24,24,carnivore
Varacosa terricola (Size class 6),arthropod,running,ectotherm,6.01E-04,24,2.11,24,carnivore
Varacosa terricola (Size class 7),arthropod,running,ectotherm,7.17E-04,24,1.84,24,carnivore
Geococcyx californianus,bird,running,endotherm,0.5,101,32,101,omnivore
Struthio camelus,bird,running,endotherm,111,30,70,101,herbivore
Struthio camelus,bird,running,endotherm,111,30,82.8,11,herbivore
Acinonyx jubatus,mammal,running,endotherm,39,16,104.95,16,carnivore
Acinonyx jubatus,mammal,running,endotherm,65,101,120,101,carnivore
Acinonyx jubatus,mammal,running,endotherm,58.8,44,106.91,44,carnivore
Acinonyx jubatus,mammal,running,endotherm,44.87,11,104.4,11,carnivore
Aepyceros melampus,mammal,running,endotherm,50,16,74.99,16,herbivore
Aepyceros melampus,mammal,running,endotherm,50,34,47,34,herbivore
Aepyceros melampus,mammal,running,endotherm,53.25,7,45.68,7,herbivore
Alcelaphus buselaphus,mammal,running,endotherm,150,16,69.98,16,herbivore
Alcelaphus buselaphus,mammal,running,endotherm,170,34,80,34,herbivore
Alcelaphus buselaphus,mammal,running,endotherm,136,7,77.98,7,herbivore
Alces alces,mammal,running,endotherm,410.2,16,55.98,16,herbivore
Alces alces,mammal,running,endotherm,384,7,54.55,7,herbivore
Ammospermophilus leucurus,mammal,running,endotherm,0.0759,44,16.77,44,omnivore
Antechinomys laniger,mammal,running,endotherm,0.025,44,14.51,44,carnivore
Antechinus flavipes,mammal,running,endotherm,0.052,44,16.2,44,carnivore
Antechinus stuartii,mammal,running,endotherm,0.0315,44,17.38,44,carnivore
Antidorcas marsupialis,mammal,running,endotherm,21.18,16,87.9,16,herbivore
Antidorcas marsupialis,mammal,running,endotherm,34,34,97,34,herbivore
Antidorcas marsupialis,mammal,running,endotherm,34,7,94.302,7,herbivore
Antilocapra americana,mammal,running,endotherm,46.03,16,87.1,16,herbivore
Antilocapra americana,mammal,running,endotherm,50,101,98,101,herbivore
Antilope cervicapra,mammal,running,endotherm,37,34,105,34,herbivore
Antilope cervicapra,mammal,running,endotherm,34.99,16,94.84,16,herbivore
Antilope cervicapra,mammal,running,endotherm,37.5,7,102.08,7,herbivore
Axis axis,mammal,running,endotherm,45.5,56,65,102,herbivore
Bettongia penicillata,mammal,running,endotherm,1.1,44,24.11,44,herbivore
Bison bison,mammal,running,endotherm,624.58,56,52,16,herbivore
Bison bison,mammal,running,endotherm,865,7,54.43,7,herbivore
Bison bonasus,mammal,running,endotherm,225,16,55.98,16,herbivore
Bos sauveli,mammal,running,endotherm,800,34,29,34,herbivore
Bos sauveli,mammal,running,endotherm,800,7,28.15,7,herbivore
Boselaphus tragocamelus,mammal,running,endotherm,200,16,47.97,16,herbivore
Camelus bactrianus,mammal,running,endotherm,549.54,16,59.98,16,herbivore
Camelus dromedarius,mammal,running,endotherm,500,34,32,34,herbivore
Camelus dromedarius,mammal,running,endotherm,414.95,16,52,16,herbivore
Camelus dromedarius,mammal,running,endotherm,550,7,31.09,7,herbivore
Canis aureus,mammal,running,endotherm,9.2,16,55.98,16,carnivore
Canis aureus,mammal,running,endotherm,8.8,44,54.44,44,carnivore
Canis familiaris,mammal,running,endotherm,17,34,54.95,16,carnivore
Canis familiaris,mammal,running,endotherm,25,44,65.14,44,carnivore
Canis latrans,mammal,running,endotherm,12.3,16,55.98,16,carnivore
Canis latrans,mammal,running,endotherm,18,101,69.04,101,carnivore
Canis latrans,mammal,running,endotherm,13.3,44,63.19,44,carnivore
Canis lupus,mammal,running,endotherm,40,34,63.97,16,carnivore
Canis lupus,mammal,running,endotherm,35.3,44,62.06,44,carnivore
Canis mesomelas,mammal,running,endotherm,7.6,16,59.98,16,carnivore
Canis mesomelas,mammal,running,endotherm,7,44,58.29,44,carnivore
Capra aegaerus,mammal,running,endotherm,46,16,44.98,16,herbivore
Capra aegagrus,mammal,running,endotherm,30,7,43.75,7,herbivore
Capra aegagrus,mammal,running,endotherm,30,7,78.09,7,herbivore
Capra caucasica,mammal,running,endotherm,55,16,44.98,16,herbivore
Capreolus capreolus,mammal,running,endotherm,25,16,59.98,16,herbivore
Ceratotherium simum,mammal,running,endotherm,2000,7,24.36,7,herbivore
Ceratotherium simum,mammal,running,endotherm,1901,16,39.99,16,herbivore
Ceratotherium simum,mammal,running,endotherm,3000,34,25,34,herbivore
Cercartetus concinnus,mammal,running,endotherm,0.015,44,4.84,44,carnivore
Cervus canadensis,mammal,running,endotherm,382,101,72.4,101,herbivore
Cervus elaphus,mammal,running,endotherm,84.92,16,71.94,16,herbivore
Chaetodipus baileyi,mammal,running,endotherm,0.0391,44,12.09,44,herbivore
Chaetodipus fallax,mammal,running,endotherm,0.018,44,12.45,44,herbivore
Connochaetes gnou,mammal,running,endotherm,157,16,79.98,16,herbivore
Connochaetes gnou,mammal,running,endotherm,250,101,64,101,herbivore
Connochaetes gnou,mammal,running,endotherm,300,34,90,34,herbivore
Connochaetes gnou,mammal,running,endotherm,132.25,56,62.18,7,herbivore
Connochaetes gnou,mammal,running,endotherm,132.25,56,69.97,7,herbivore
Connochaetes taurinus,mammal,running,endotherm,180,34,79.98,16,herbivore
Crocuta crocuta,mammal,running,endotherm,65.01,16,59.98,16,carnivore
Crocuta crocuta,mammal,running,endotherm,50,101,64,101,carnivore
Crocuta crocuta,mammal,running,endotherm,52,44,62.99,44,carnivore
Dama dama,mammal,running,endotherm,45,16,65.01,16,herbivore
Dama dama,mammal,running,endotherm,55,7,63.4,7,herbivore
Damaliscus dorcas,mammal,running,endotherm,43.45,16,69.98,16,herbivore
Damaliscus hunteri,mammal,running,endotherm,158.85,16,69.98,16,herbivore
Damaliscus lunatus,mammal,running,endotherm,125.89,16,69.98,16,herbivore
Damaliscus lunatus,mammal,running,endotherm,130,7,68.24,7,herbivore
Dasyuroides byrnei,mammal,running,endotherm,0.12,44,25.66,44,carnivore
Diceros bicornis,mammal,running,endotherm,875,16,44.98,16,herbivore
Diceros bicornis,mammal,running,endotherm,1200,7,43.8,7,herbivore
Dipodomys deserti,mammal,running,endotherm,0.0976,44,14.63,44,herbivore
Dipodomys merriami,mammal,running,endotherm,0.035,44,31.22,44,herbivore
Dipodomys microps,mammal,running,endotherm,0.056,44,20.43,44,herbivore
Dipodomys ordii,mammal,running,endotherm,0.0478,44,13.66,44,herbivore
Elephas maximus,mammal,running,endotherm,4000,34,26,34,herbivore
Elephas maximus,mammal,running,endotherm,4000,7,25.28,7,herbivore
Equus asinus,mammal,running,endotherm,165.2,16,54.95,16,herbivore
Equus burchelli,mammal,running,endotherm,136.14,16,69.98,16,herbivore
Equus burchelli,mammal,running,endotherm,235,7,68.15,7,herbivore
Equus caballus,mammal,running,endotherm,529.66,16,63.97,16,herbivore
Equus caballus,mammal,running,endotherm,350,7,68.04,7,herbivore
Equus caballus,mammal,running,endotherm,600,101,88,101,herbivore
Equus hemionus,mammal,running,endotherm,220.8,16,63.97,16,herbivore
Equus hemionus,mammal,running,endotherm,220.8,16,63.97,16,herbivore
Equus hemionus,mammal,running,endotherm,230,101,64,101,herbivore
Equus hemionus,mammal,running,endotherm,200,7,68.04,7,herbivore
Equus hemionus,mammal,running,endotherm,200,7,68.04,7,herbivore
Equus zebra,mammal,running,endotherm,276.06,16,63.97,16,herbivore
Equus zebra,mammal,running,endotherm,328,101,64.4,101,herbivore
Eudorcas thomsonii,mammal,running,endotherm,20,101,65,101,herbivore
Felis catus,mammal,running,endotherm,6,101,48,101,carnivore
Gazella dorcas,mammal,running,endotherm,19,16,79.98,16,herbivore
Gazella granti,mammal,running,endotherm,50,16,80.91,16,herbivore
Gazella subgutturosa,mammal,running,endotherm,24,16,97.05,16,herbivore
Gazella thomsoni,mammal,running,endotherm,19,16,79.98,16,herbivore
Giraffa camelopardalis,mammal,running,endotherm,1700,16,55.98,16,herbivore
Giraffa camelopardalis,mammal,running,endotherm,1700,101,52,101,herbivore
Giraffa camelopardalis,mammal,running,endotherm,1000,34,60,34,herbivore
Giraffa cameolopardalis,mammal,running,endotherm,1075,7,58.41,7,herbivore
Gorilla gorilla,mammal,running,endotherm,127,44,31.08,44,herbivore
Heteromys desmarestianus,mammal,running,endotherm,0.05,44,12.19,44,herbivore
Hippopotamus amphibius,mammal,running,endotherm,1210.6,16,25,16,herbivore
Hippopotamus amphibius,mammal,running,endotherm,3800,7,24.36,7,herbivore
Hippotragus equinus,mammal,running,endotherm,224.91,16,55.98,16,herbivore
Hippotragus equinus,mammal,running,endotherm,226.5,7,54.58,7,herbivore
Hippotragus niger,mammal,running,endotherm,181.13,16,57.02,16,herbivore
Homo sapiens,mammal,running,endotherm,70,44,38.83,44,omnivore
Homo sapiens,mammal,running,endotherm,70,7,43.85,7,omnivore
Hyaena hyaena,mammal,running,endotherm,31.99,16,50,16,carnivore
Hyaena hyaena,mammal,running,endotherm,26.8,44,48.47,44,carnivore
Isoodon obesulus,mammal,running,endotherm,0.718,44,13.9,44,omnivore
Lama guanicoe,mammal,running,endotherm,89.95,16,55.98,16,herbivore
Lama guanicoe,mammal,running,endotherm,95,7,54.62,7,herbivore
Leggadina forresti,mammal,running,endotherm,0.0155,44,12.25,44,omnivore
Lepus alleni,mammal,running,endotherm,4.4,44,70.04,44,herbivore
Lepus americanus,mammal,running,endotherm,1.5,44,48.55,44,herbivore
Lepus arcticus,mammal,running,endotherm,4.6,44,62.24,44,herbivore
Lepus californicus,mammal,running,endotherm,2,44,62.14,44,herbivore
Lepus europaeus,mammal,running,endotherm,4,44,70.02,44,herbivore
Lepus townsendii,mammal,running,endotherm,3.5,44,54.45,44,herbivore
Liomys pictus,mammal,running,endotherm,0.042,44,16.72,44,omnivore
Lontra canadensis,mammal,running,endotherm,8.09,56,18,85,carnivore
Loxodonta africana,mammal,running,endotherm,8000,101,40.07,101,herbivore
Loxodonta africana,mammal,running,endotherm,6000,34,35,34,herbivore
Loxodonta africana,mammal,running,endotherm,6000,7,34.02,7,herbivore
Lycaon pictus,mammal,running,endotherm,21.98,16,66.07,16,carnivore
Lycaon pictus,mammal,running,endotherm,30,101,72.42,101,carnivore
Lycaon pictus,mammal,running,endotherm,20,44,68.05,44,carnivore
Macropus eugenii,mammal,running,endotherm,4,44,38.88,44,herbivore
Macropus rufus,mammal,running,endotherm,80,101,70,101,herbivore
Macropus spp,mammal,running,endotherm,50,7,38.89,7,herbivore
Macropus spp,mammal,running,endotherm,50,7,58.32,7,herbivore
Macropus spp,mammal,running,endotherm,50,7,97.2,7,herbivore
Macropus spp.,mammal,running,endotherm,50,44,63.33,44,herbivore
Madoqua kirki,mammal,running,endotherm,5.11,16,41.98,16,herbivore
Madoqua kirki,mammal,running,endotherm,5,7,40.82,7,herbivore
Marmota monax,mammal,running,endotherm,4,44,15.55,44,herbivore
Meles meles,mammal,running,endotherm,11.6,44,29.17,44,carnivore
Mephitis mephitis,mammal,running,endotherm,2.5,44,15.55,44,omnivore
Mesocricetus brandti,mammal,running,endotherm,0.11,44,8.75,44,herbivore
Microdipodops megacephalus,mammal,running,endotherm,0.0123,44,10.6,44,omnivore
Microtus pennsylvanicus,mammal,running,endotherm,0.05,44,10.68,44,herbivore
Microtus pinetorum,mammal,running,endotherm,0.03,44,6.6,44,herbivore
Monodelphis brevicaudata,mammal,running,endotherm,0.0745,44,11.37,44,carnivore
Mus musculus,mammal,running,endotherm,0.019,101,13,101,omnivore
Mus musculus,mammal,running,endotherm,0.016,44,12.64,44,omnivore
Myrmecobius fasciatus,mammal,running,endotherm,0.48,44,13.54,44,carnivore
Napaeozapus insignis,mammal,running,endotherm,0.025,44,8.36,44,omnivore
Nasua narica,mammal,running,endotherm,4.4,44,26.24,44,omnivore
Nasua nasua,mammal,running,endotherm,3.4,16,26.98,16,omnivore
Neotoma lepida,mammal,running,endotherm,0.1106,44,16.62,44,herbivore
Notomys alexis,mammal,running,endotherm,0.0245,44,12.73,44,omnivore
Notomys cervinus,mammal,running,endotherm,0.035,44,13.66,44,omnivore
Odocoileus hemionus,mammal,running,endotherm,54.95,16,63.97,16,herbivore
Odocoileus hemionus,mammal,running,endotherm,120,34,61,34,herbivore
Odocoileus virginianus,mammal,running,endotherm,61.94,16,63.97,16,herbivore
Odocoileus virginianus,mammal,running,endotherm,80,101,48.2,101,herbivore
Onychomys torridus,mammal,running,endotherm,0.0193,44,10.06,44,omnivore
Oreamnos americanus,mammal,running,endotherm,119.95,16,33.04,16,herbivore
Oreamnos americanus,mammal,running,endotherm,113.5,7,32.05,7,herbivore
Oryctolagus cuniculus,mammal,running,endotherm,1.9,44,54.432,44,herbivore
Ourebia ourebi,mammal,running,endotherm,14.49,16,50,16,herbivore
Ovibos moschatus,mammal,running,endotherm,209.89,16,39.99,16,herbivore
Ovis ammon,mammal,running,endotherm,114.02,16,59.98,16,herbivore
Ovis ammon,mammal,running,endotherm,65,7,58.32,7,herbivore
Ovis canadensis,mammal,running,endotherm,95.06,16,47.97,16,herbivore
Panthera leo,mammal,running,endotherm,169.82,16,54.95,16,carnivore
Panthera leo,mammal,running,endotherm,200,101,80,101,carnivore
Panthera leo,mammal,running,endotherm,155.8,7,57.35,7,carnivore
Panthera pardus,mammal,running,endotherm,51.05,16,59.98,16,carnivore
Panthera pardus,mammal,running,endotherm,52.4,44,58.32,44,carnivore
Panthera tigris,mammal,running,endotherm,144.88,16,55.98,16,carnivore
Panthera tigris,mammal,running,endotherm,161,7,54.43,7,carnivore
Pecari tajacu,mammal,running,endotherm,21.98,16,34.99,16,omnivore
Perognathus longimembris,mammal,running,endotherm,0.0089,44,9.62,44,omnivore
Perognathus parvus,mammal,running,endotherm,0.0244,44,12.15,44,herbivore
Peromyscus crinitus,mammal,running,endotherm,0.0137,44,11.08,44,omnivore
Peromyscus eremicus,mammal,running,endotherm,0.0198,44,12.73,44,omnivore
Peromyscus leucopus,mammal,running,endotherm,0.025,44,10.69,44,omnivore
Peromyscus maniculatus,mammal,running,endotherm,0.0182,44,13.03,44,omnivore
Peromyscus maniculatus,mammal,running,endotherm,0.022,11,9,11,omnivore
Peromyscus truei,mammal,running,endotherm,0.0193,44,13.9,44,herbivore
Phacochoerus aethiopicus,mammal,running,endotherm,87.9,16,54.95,16,herbivore
Phacochoerus aethiopicus,mammal,running,endotherm,85,7,46.77,7,herbivore
Phacochoerus aethiopicus,mammal,running,endotherm,85,7,53.48,7,herbivore
Potorous tridactylus,mammal,running,endotherm,0.998,44,20.8,44,omnivore
Potorous tridactylus,mammal,running,endotherm,0.998,7,20.8,7,omnivore
Presbytis,mammal,running,endotherm,13,44,35.97,44,herbivore
Procyon lotor,mammal,running,endotherm,7.5,16,10.91,16,omnivore
Procyon lotor,mammal,running,endotherm,7,44,23.35,44,omnivore
Pseudomys australis,mammal,running,endotherm,0.05,44,15.92,44,omnivore
Pseudomys hermannsburgensis,mammal,running,endotherm,0.018,44,12.25,44,omnivore
Pseudomys nanus,mammal,running,endotherm,0.061,44,14.05,44,herbivore
Rangifer tarandus,mammal,running,endotherm,159.96,16,69.98,16,herbivore
Rangifer tarandus,mammal,running,endotherm,120,34,80,34,herbivore
