species,taxonomic_group,locomotion_mode,thermoregulation,body_mass_kg,mass_ref,max_speed_km.h-1,Speed_ref,primary_diet
Rangifer tarandus,mammal,running,endotherm,100,7,77.79,7,herbivore
Rattus,mammal,running,endotherm,0.25,44,9.43,44,omnivore
Rupicapra pyrenaica,mammal,running,endotherm,33.96,16,50,16,herbivore
Rupicapra rupicapra,mammal,running,endotherm,38.02,16,50,16,herbivore
Rupicapra rupicapra,mammal,running,endotherm,50,34,50,34,herbivore
Saiga tatarica,mammal,running,endotherm,26.18,16,74.99,16,herbivore
Saiga tatarica,mammal,running,endotherm,35,34,80,34,herbivore
Saiga tatarica,mammal,running,endotherm,35,7,77.76,7,herbivore
Sciurus carolinensis,mammal,running,endotherm,0.5,44,29.11,44,herbivore
Sciurus carolinensis,mammal,running,endotherm,0.133,101,20,101,omnivore
Sciurus carolinensis,mammal,running,endotherm,0.479,11,27.36,11,omnivore
Sciurus niger,mammal,running,endotherm,1.078,44,23.33,44,omnivore
Sciurus vulgaris,mammal,running,endotherm,0.4,44,19.46,44,herbivore
Sminthopsis crassicaudata,mammal,running,endotherm,0.017,44,11.18,44,carnivore
Sminthopsis macroura,mammal,running,endotherm,0.02,44,14.03,44,carnivore
Spermophilopsis leptodactylus,mammal,running,endotherm,0.6,44,35.01,44,omnivore
Spermophilus citellus,mammal,running,endotherm,0.5,44,17.47,44,herbivore
Spermophilus saturatus,mammal,running,endotherm,0.222,44,21.53,44,herbivore
Spermophilus tereticaudus,mammal,running,endotherm,0.1126,44,14.78,44,omnivore
Spermophilus tridecemlineatus,mammal,running,endotherm,0.125,44,11.82,44,omnivore
Spermophilus undulatus,mammal,running,endotherm,0.6,44,19.45,44,omnivore
Sus scrofa,mammal,running,endotherm,135,56,56,98,omnivore
Sylvilagus,mammal,running,endotherm,1.5,44,38.88,44,herbivore
Sylvilagus,mammal,running,endotherm,1.5,7,48.55,7,herbivore
Sylvilagus floridanus,mammal,running,endotherm,2,101,48,101,herbivore
Syncerus caffer,mammal,running,endotherm,439.54,16,57.02,16,herbivore
Syncerus caffer,mammal,running,endotherm,620,7,55.44,7,herbivore
Tamias amoenus,mammal,running,endotherm,0.051,44,18.86,44,omnivore
Tamias minimus,mammal,running,endotherm,0.0293,44,16.27,44,herbivore
Tamias striatus,mammal,running,endotherm,0.1,44,16.52,44,herbivore
Tamias striatus,mammal,running,endotherm,0.125,11,17.28,11,herbivore
Tamiasciurus hudsonicus,mammal,running,endotherm,0.22,44,14.62,44,herbivore
Tamiasciurus hudsonicus,mammal,running,endotherm,0.22,7,14.62,7,herbivore
Tapirus terrestris,mammal,running,endotherm,172.98,16,39.99,16,herbivore
Taurotragus derbianus,mammal,running,endotherm,680.77,16,69.98,16,herbivore
Taurotragus oryx,mammal,running,endotherm,559.76,16,69.98,16,herbivore
Taurotragus oryx,mammal,running,endotherm,511,7,68.17,7,herbivore
Tayassu pecari,mammal,running,endotherm,33.04,16,34.99,16,omnivore
Urocitellus beldingi,mammal,running,endotherm,0.3,44,12.61,44,herbivore
Urocyon cinereoargenteus,mammal,running,endotherm,5.8,101,67.6,101,omnivore
Urocyon cinereoargenteus,mammal,running,endotherm,3.7,44,62.21,44,omnivore
Urocyon cineroargenteus,mammal,running,endotherm,3.8,16,41.98,16,omnivore
Uromys caudimaculatus,mammal,running,endotherm,1.18,44,16.16,44,omnivore
Ursus americanus,mammal,running,endotherm,104.95,16,47.97,16,carnivore
Ursus americanus,mammal,running,endotherm,93.4,44,46.63,44,carnivore
Ursus arctos,mammal,running,endotherm,250,101,35,101,carnivore
Ursus arctos,mammal,running,endotherm,251.3,7,46.66,7,carnivore
Ursus arctos horribilis,mammal,running,endotherm,154.88,16,47.97,16,carnivore
Ursus maritimus,mammal,running,endotherm,174.98,16,50,16,carnivore
Ursus maritimus,mammal,running,endotherm,650,101,30,101,carnivore
Ursus maritimus,mammal,running,endotherm,265,7,38.92,7,carnivore
Vicugna vicugna,mammal,running,endotherm,44.98,16,46.99,16,herbivore
Vulpes vulpes,mammal,running,endotherm,5.5,16,47.97,16,carnivore
Vulpes vulpes,mammal,running,endotherm,4.8,44,70.03,44,carnivore
Vulpes vulpes,mammal,running,endotherm,4.59,11,72,11,carnivore
Zapus hudsonicus,mammal,running,endotherm,0.018,44,8.65,44,omnivore
Zapus trinotatus,mammal,running,endotherm,0.0285,44,13.84,44,omnivore
Zyzomys argurus,mammal,running,endotherm,0.0605,44,12.05,44,omnivore
Acanthodactylus erythrurus,reptile,running,ectotherm,0.0089,80,11.27,80,carnivore
Acanthodactylus pardalis,reptile,running,ectotherm,0.0067,80,9.42,80,carnivore
Acanthodactylus scutellatus,reptile,running,ectotherm,0.00784,27,11.95,27,carnivore
Acanthodactylus scutellatus,reptile,running,ectotherm,0.0081,80,10.06,80,carnivore
Amblyrhynchus cristatus,reptile,running,ectotherm,0.0718,80,10.08,80,herbivore
Anolis carolinensis,reptile,running,ectotherm,0.006,80,4.32,80,carnivore
Anolis cristatellus,reptile,running,ectotherm,0.0081,80,7.76,80,carnivore
Anolis evermanni,reptile,running,ectotherm,0.0056,80,6.57,80,carnivore
Anolis frenatus,reptile,running,ectotherm,0.0427,80,9.78,80,carnivore
Anolis gundlachi,reptile,running,ectotherm,0.0071,80,7.76,80,carnivore
Anolis humilis,reptile,running,ectotherm,0.001,80,4.18,80,carnivore
Anolis krugi,reptile,running,ectotherm,0.0024,80,6.43,80,carnivore
Anolis lemurinus,reptile,running,ectotherm,0.0036,80,5.33,80,carnivore
Anolis limifrons,reptile,running,ectotherm,9.00E-04,80,4.75,80,carnivore
Anolis lineatopus,reptile,running,ectotherm,0.0046,80,7.32,80,carnivore
Anolis poncensis,reptile,running,ectotherm,0.0016,80,6.34,80,carnivore
Anolis pulchellus,reptile,running,ectotherm,0.0015,80,6.12,80,carnivore
Anolis sagrei,reptile,running,ectotherm,0.0029,80,6.52,80,carnivore
Anolis stratulus,reptile,running,ectotherm,0.0019,80,5.36,80,carnivore
Aspidoscelis tigris,reptile,running,ectotherm,0.01142,27,15.37,27,carnivore
Callisaurus draconoides,reptile,running,ectotherm,0.0982,11,25.92,11,carnivore
Callisaurus draconoides,reptile,running,ectotherm,0.01193,27,17.32,27,carnivore
Carlia fusca,reptile,running,ectotherm,0.00335,27,6.23,27,carnivore
Christinus marmoratus,reptile,running,ectotherm,0.0037,80,3.49,80,carnivore
Cnemidophorus inornatus arizonae,reptile,running,ectotherm,0.0042,80,8.15,80,carnivore
Cnemidophorus inornatus heptagrammus,reptile,running,ectotherm,0.004,80,6.75,80,carnivore
Cnemidophorus sexlineatus,reptile,running,ectotherm,0.2,101,29,101,carnivore
Cnemidophorus tigris marmoratus,reptile,running,ectotherm,0.0179,80,8.64,80,carnivore
Cnemidophorus tigris punctilinealis,reptile,running,ectotherm,0.0112,80,9.53,80,carnivore
Coleonyx brevis,reptile,running,ectotherm,0.0018,80,5.36,80,carnivore
Coleonyx variegatus,reptile,running,ectotherm,0.0044,80,5.51,80,carnivore
Cophosaurus texanus,reptile,running,ectotherm,0.00994,27,13.72,27,carnivore
Crotaphytus collaris,reptile,running,ectotherm,0.04015,27,12.1,27,carnivore
Ctenophorus nuchalis,reptile,running,ectotherm,0.0138,80,9.23,80,omnivore
Ctenotus regius,reptile,running,ectotherm,0.0055,80,3.56,80,carnivore
Ctenotus taeniolatus,reptile,running,ectotherm,0.0045,80,4.25,80,carnivore
Ctenotus uber,reptile,running,ectotherm,0.0054,80,5.94,80,carnivore
Dendroaspis polylepis,reptile,running,ectotherm,1.4,101,23,73,carnivore
Dendroaspis polylepis,reptile,running,ectotherm,1.4,101,32.2,101,carnivore
Dipsosaurus dorsalis,reptile,running,ectotherm,0.398,11,26.28,11,herbivore
Egernia cunninghami,reptile,running,ectotherm,0.268,80,9.69,80,herbivore
Egernia whitii,reptile,running,ectotherm,0.0251,80,3.92,80,omnivore
Elgaria kingii,reptile,running,ectotherm,0.00973,27,4.21,27,carnivore
Eremias lineoocellata,reptile,running,ectotherm,0.0042,80,9.47,80,carnivore
Eremias lugubris,reptile,running,ectotherm,0.004,80,5.69,80,carnivore
Eremias namaquensis,reptile,running,ectotherm,0.0025,80,9.65,80,carnivore
Eremiascincus fasciolatus,reptile,running,ectotherm,0.0125,80,2.99,80,carnivore
Eublepharis macularius,reptile,running,ectotherm,0.0495,80,2.38,80,carnivore
Eulamprus kosciuskoi,reptile,running,ectotherm,0.0083,80,3.74,80,carnivore
Eulamprus quoyi,reptile,running,ectotherm,0.0211,80,5.47,80,carnivore
Eulamprus tympanum,reptile,running,ectotherm,0.0144,80,5.36,80,carnivore
Gallotia atlantica,reptile,running,ectotherm,0.0054,80,6.55,80,omnivore
Gallotia caesaris,reptile,running,ectotherm,0.0098,80,7.74,80,omnivore
Gallotia simonyi,reptile,running,ectotherm,0.23,80,8.28,80,omnivore
Gallotia stehlini,reptile,running,ectotherm,0.208,80,11.34,80,omnivore
Gambelia wislizenii,reptile,running,ectotherm,0.01981,27,11.81,27,omnivore
Gekko gecko,reptile,running,ectotherm,0.0381,80,5.44,80,carnivore
Gonatodes concinnatus,reptile,running,ectotherm,0.0023,80,3.74,80,carnivore
Hemidactylus frenatus,reptile,running,ectotherm,0.0033,80,7.96,80,carnivore
Hemidactylus turcicus,reptile,running,ectotherm,0.0028,80,5.9,80,carnivore
Hemiergis decresiensis,reptile,running,ectotherm,8.00E-04,80,2.3,80,carnivore
Hemiergis peronii,reptile,running,ectotherm,0.0015,80,1.76,80,carnivore
Holbrookia elegans,reptile,running,ectotherm,0.00405,27,10.62,27,carnivore
Lacerta agilis,reptile,running,ectotherm,0.0091,80,6.04,80,carnivore
Lacerta bedriagae,reptile,running,ectotherm,0.0096,80,6.43,80,carnivore
Lacerta monticola,reptile,running,ectotherm,0.0077,80,5.64,80,carnivore
Lacerta schreiberi,reptile,running,ectotherm,0.0212,80,6.43,80,carnivore
Lacerta viridis,reptile,running,ectotherm,0.0284,80,9.64,80,carnivore
Lacerta vivipara,reptile,running,ectotherm,0.0028,80,3.24,80,carnivore
Laudakia stellio,reptile,running,ectotherm,0.04854,27,10.91,27,carnivore
Laudakia stellio,reptile,running,ectotherm,0.0401,80,9.72,80,carnivore
Laudakia stellio,reptile,running,ectotherm,0.0411,80,9,80,carnivore
Laudakia stellio,reptile,running,ectotherm,0.0419,80,8.28,80,carnivore
Laudakia stellio,reptile,running,ectotherm,0.0551,80,8.64,80,carnivore
Leiolepis belliana,reptile,running,ectotherm,0.04,80,7.92,80,omnivore
Lepidodactylus lugubris,reptile,running,ectotherm,0.0011,80,5.54,80,carnivore
Nucras tessellata,reptile,running,ectotherm,0.0047,80,7.38,80,carnivore
Petrosaurus mearnsi,reptile,running,ectotherm,0.0113,80,8.46,80,omnivore
Phrynosoma cornutum,reptile,running,ectotherm,0.03362,27,6.34,27,carnivore
Phrynosoma mcallii,reptile,running,ectotherm,0.01146,27,5.54,27,carnivore
Phrynosoma modestum,reptile,running,ectotherm,0.00595,27,4.5,27,carnivore
Phrynosoma platyrhinos,reptile,running,ectotherm,0.01626,27,5.58,27,carnivore
Plestiodon fasciatus,reptile,running,ectotherm,0.00735,27,6.48,27,carnivore
Plestiodon skiltonianus,reptile,running,ectotherm,0.0052,80,2.74,80,carnivore
Podarcis bocagei,reptile,running,ectotherm,0.0033,80,5.12,80,carnivore
Podarcis hispanica,reptile,running,ectotherm,0.0025,80,7.3,80,carnivore
Podarcis hispanica atrata,reptile,running,ectotherm,0.0076,80,5.5,80,carnivore
Podarcis lilfordi,reptile,running,ectotherm,0.0078,80,8.41,80,carnivore
Podarcis muralis,reptile,running,ectotherm,0.0031,80,7.69,80,carnivore
Podarcis pityusensis,reptile,running,ectotherm,0.0098,80,9.14,80,carnivore
Podarcis sicula,reptile,running,ectotherm,0.00539,27,8.64,27,carnivore
Podarcis sicula,reptile,running,ectotherm,0.0071,80,6.01,80,carnivore
Podarcis tiliguerta,reptile,running,ectotherm,0.0048,80,8.68,80,carnivore
Psammodromus algirus,reptile,running,ectotherm,0.011,80,9.09,80,carnivore
Psammodromus hispanicus,reptile,running,ectotherm,0.0014,80,5.4,80,carnivore
Pseudemoia entrecasteauxii,reptile,running,ectotherm,0.0033,80,3.2,80,carnivore
Pseudemoia entrecasteauxii,reptile,running,ectotherm,0.0047,80,4.25,80,carnivore
Sceloporus clarkii,reptile,running,ectotherm,0.012,80,6.8,80,carnivore
Sceloporus cowlesi,reptile,running,ectotherm,0.00451,27,7.92,27,carnivore
Sceloporus graciosus,reptile,running,ectotherm,0.00703,27,8.35,27,carnivore
Sceloporus jarrovi,reptile,running,ectotherm,0.0153,80,6.23,80,carnivore
Sceloporus magister,reptile,running,ectotherm,0.03101,27,11.2,27,carnivore
Sceloporus merriami,reptile,running,ectotherm,0.0042,80,7.01,80,carnivore
Sceloporus merriami,reptile,running,ectotherm,0.0048,80,7.64,80,carnivore
Sceloporus occidentalis,reptile,running,ectotherm,0.0074,80,6.95,80,carnivore
Sceloporus undulatus,reptile,running,ectotherm,0.0056,80,6.23,80,carnivore
Sceloporus undulatus,reptile,running,ectotherm,0.0059,80,5.83,80,carnivore
Sceloporus undulatus hyacinthus,reptile,running,ectotherm,0.01,80,7.7,80,carnivore
Sceloporus virgatus,reptile,running,ectotherm,0.00523,27,6.34,27,carnivore
Sceloporus woodi,reptile,running,ectotherm,0.0028,80,8.93,80,carnivore
Scincella lateralis,reptile,running,ectotherm,8.00E-04,80,1.37,80,carnivore
Takydromus septentrionalis,reptile,running,ectotherm,0.0055,80,2.92,80,carnivore
Tiliqua scincoides,reptile,running,ectotherm,0.438,80,3.85,80,omnivore
Trachylepis occidentalis,reptile,running,ectotherm,0.0137,80,6.23,80,carnivore
Trachylepis spilogaster,reptile,running,ectotherm,0.0095,80,8.53,80,carnivore
Trachylepis striata,reptile,running,ectotherm,0.0158,80,7.56,80,carnivore
Trachylepis variegata,reptile,running,ectotherm,0.0013,80,4.9,80,carnivore
Trapelus savignyi,reptile,running,ectotherm,0.022,80,9.72,80,carnivore
Uma rufopunctata,reptile,running,ectotherm,0.02967,27,11.92,27,carnivore
Uma scoparia,reptile,running,ectotherm,0.0185,80,8.57,80,carnivore
Urosaurus graciosus,reptile,running,ectotherm,0.0036,80,6.37,80,carnivore
Urosaurus nigricaudus,reptile,running,ectotherm,0.0023,80,6.44,80,carnivore
Urosaurus ornatus,reptile,running,ectotherm,0.00347,27,8.24,27,carnivore
Urosaurus ornatus,reptile,running,ectotherm,0.0035,80,7.6,80,carnivore
Uta stansburiana,reptile,running,ectotherm,0.00383,27,7.81,27,carnivore
Uta stansburiana,reptile,running,ectotherm,0.003,80,6.66,80,carnivore
Varanus acanthurus,reptile,running,ectotherm,0.0589,18,10.98,18,carnivore
Varanus brevicauda,reptile,running,ectotherm,0.0206,18,5.72,18,carnivore
Varanus caudolineatus,reptile,running,ectotherm,0.0181,18,8.42,18,carnivore
Varanus eremius,reptile,running,ectotherm,0.0485,18,13.36,18,carnivore
Varanus giganteus,reptile,running,ectotherm,2.9667,18,31.57,18,carnivore
Varanus gilleni,reptile,running,ectotherm,0.0271,18,8.028,18,carnivore
Varanus glauerti,reptile,running,ectotherm,0.0357,18,11.12,18,carnivore
Varanus gouldii,reptile,running,ectotherm,0.4294,18,20.59,18,carnivore
Varanus kingorum,reptile,running,ectotherm,0.0183,18,9.36,18,carnivore
Varanus mertensi,reptile,running,ectotherm,1.0323,18,12.85,18,carnivore
Varanus mitchelli,reptile,running,ectotherm,0.1513,18,12.35,18,carnivore
Varanus panoptes,reptile,running,ectotherm,2.425,18,21.24,18,carnivore
Varanus pilbarensis,reptile,running,ectotherm,0.0303,18,10.19,18,carnivore
Varanus rosenbergi,reptile,running,ectotherm,1.025,18,18.97,18,carnivore
Varanus scalaris,reptile,running,ectotherm,0.1021,18,9.94,18,carnivore
Varanus storri,reptile,running,ectotherm,0.0269,18,9.18,18,carnivore
Varanus tristis,reptile,running,ectotherm,0.0983,18,14.22,18,carnivore
Varanus varius,reptile,running,ectotherm,7.7,18,14.51,18,carnivore
Euphausia superba,arthropod,swimming,ectotherm,0.002,91,1.66,48,herbivore
Aptenodytes forsteri,bird,swimming,endotherm,29.75,56,10.8,49,carnivore
Aptenodytes patagonicus,bird,swimming,endotherm,14,101,12.1,101,carnivore
Pygoscelis adeliae,bird,swimming,endotherm,3.36,11,13.68,11,carnivore
Pygoscelis antarcticus,bird,swimming,endotherm,4.5,101,32,101,carnivore
Pygoscelis papua,bird,swimming,endotherm,8.2,101,36,101,carnivore
Acanthocybium solandri,fish,swimming,ectotherm,13.31,11,77.4,11,carnivore
Acanthocybium solandri,fish,swimming,ectotherm,16.64,79,77,101,carnivore
Alburnus alburnus,fish,swimming,ectotherm,0.001,5,1.8,5,carnivore
Alosa finita,fish,swimming,ectotherm,0.0297,5,2.7,5,carnivore
Alosa pseudoharengus,fish,swimming,ectotherm,0.27,11,15.84,11,carnivore
Anguilla anguilla,fish,swimming,ectotherm,2.16,8,4.1,8,carnivore
Argyrosomus regius,fish,swimming,ectotherm,0.0295,5,4.07,5,carnivore
Barbatula barbatula,fish,swimming,ectotherm,0.0177,78,3.89,78,carnivore
Carassius auratus,fish,swimming,ectotherm,0.00343,11,2.7,11,carnivore
Carassius auratus,fish,swimming,ectotherm,0.02,8,10.8,8,carnivore
Carassius auratus,fish,swimming,ectotherm,0.276,6,7.2,6,carnivore
Carassius leucas,fish,swimming,ectotherm,9.53,5,14.59,5,carnivore
Carassius leucas,fish,swimming,ectotherm,40.07,5,18.76,5,carnivore
Carcharodon carcharias,fish,swimming,ectotherm,800,101,40,101,carnivore
Clupea harengus,fish,swimming,ectotherm,0.15625,8,6.12,8,carnivore
Clupea harengus,fish,swimming,ectotherm,7.57E-05,90,0.5004,90,carnivore
Clupea harengus,fish,swimming,ectotherm,1.30E-04,90,0.5472,90,carnivore
Cottus gobio,fish,swimming,ectotherm,0.019,78,4.032,78,carnivore
Cottus gobio,fish,swimming,ectotherm,0.0688,78,4.92,78,carnivore
Cyprinus carpio,fish,swimming,ectotherm,0.0483,78,3.72,78,omnivore
Cyprinus carpio,fish,swimming,ectotherm,0.3277,78,4.83,78,omnivore
Cyprinus carpio,fish,swimming,ectotherm,0.0055,5,2,5,omnivore
Cyprinus carpio,fish,swimming,ectotherm,0.087,5,6.12,5,omnivore
Esox lucius,fish,swimming,ectotherm,0.145,5,7.56,5,carnivore
Esox lucius,fish,swimming,ectotherm,1.18,5,5.33,5,carnivore
Gadus morhua,fish,swimming,ectotherm,1.76,8,7.56,8,carnivore
Gadus morhua,fish,swimming,ectotherm,2.18E-05,90,0.288,90,carnivore
Galeocerdo cuvier,fish,swimming,ectotherm,550,101,32,101,carnivore
Helicolenus dactylopterus,fish,swimming,ectotherm,0.493,5,3.53,5,carnivore
Istiompax indica,fish,swimming,ectotherm,150,10,130,10,carnivore
Istiophorus albicans,fish,swimming,ectotherm,90,101,110,101,carnivore
Istiophorus albicans,fish,swimming,ectotherm,90,101,108,10,carnivore
Isurus oxyrinchus,fish,swimming,ectotherm,105,101,67.68,103,carnivore
Isurus oxyrinchus,fish,swimming,ectotherm,300,101,50,101,carnivore
Leuciscus leuciscus,fish,swimming,ectotherm,0.01,11,4.68,11,herbivore
Leuciscus leuciscus,fish,swimming,ectotherm,0.03375,11,6.3,11,herbivore
Leuciscus leuciscus,fish,swimming,ectotherm,0.08,11,7.92,11,herbivore
Leuciscus leuciscus,fish,swimming,ectotherm,0.279,6,8.64,6,herbivore
Leuciscus leuciscus,fish,swimming,ectotherm,0.184,5,6.12,5,herbivore
Makaira nigricans,fish,swimming,ectotherm,153.5,95,75,10,carnivore
Melanogrammus aeglefinus,fish,swimming,ectotherm,0.741,8,6.48,8,carnivore
Merlangius merlangus,fish,swimming,ectotherm,0.08,8,5.76,8,carnivore
Merluccius merluccius,fish,swimming,ectotherm,0.0237,5,2.84,5,carnivore
Micropterus salmoides,fish,swimming,ectotherm,0.276,5,3.17,5,carnivore
Mugil cephalus,fish,swimming,ectotherm,0.026,5,2.2,5,omnivore
Perca fluviatilis,fish,swimming,ectotherm,0.0184,5,2.38,5,carnivore
Platichthys flesus,fish,swimming,ectotherm,1.21E-05,90,0.234,90,carnivore
Pleuronectes platessa,fish,swimming,ectotherm,3.57E-04,11,0.2304,11,carnivore
Pleuronectes platessa,fish,swimming,ectotherm,5.71E-04,11,0.4104,11,carnivore
Pleuronectes platessa,fish,swimming,ectotherm,0.15625,8,4.64,8,carnivore
Pollachius virens,fish,swimming,ectotherm,0.266,8,7.2,8,carnivore
Rutilus rutilus,fish,swimming,ectotherm,0.0057,78,2.34,78,omnivore
Rutilus rutilus,fish,swimming,ectotherm,0.1275,78,5.02,78,omnivore
Salmo irideus,fish,swimming,ectotherm,0.551,6,9.72,6,carnivore
Salmo irideus,fish,swimming,ectotherm,0.235,5,6.12,5,carnivore
Salmo salar,fish,swimming,ectotherm,0.0023,5,0.472,5,carnivore
Salmo salar,fish,swimming,ectotherm,0.0048,5,0.601,5,carnivore
Salmo salar,fish,swimming,ectotherm,0.0078,5,0.778,5,carnivore
Salmo salar,fish,swimming,ectotherm,6.66,5,21.6,5,carnivore
Salmo salar,fish,swimming,ectotherm,7.85,5,17.532,5,carnivore
Salmo trutta,fish,swimming,ectotherm,0.12167,8,8.424,8,carnivore
Salmo trutta,fish,swimming,ectotherm,0.54872,8,11.52,8,carnivore
Salmo trutta,fish,swimming,ectotherm,0.0341,5,3.312,5,carnivore
Salmo trutta fario,fish,swimming,ectotherm,0.0217,78,4.54,78,carnivore
Salmo trutta fario,fish,swimming,ectotherm,0.969,5,12.6,5,carnivore
Scardinius erythrophthalmus,fish,swimming,ectotherm,0.0188,5,4.104,5,omnivore
Scardinius erythrophthalmus,fish,swimming,ectotherm,0.299,5,4.68,5,omnivore
Scomber scombrus,fish,swimming,ectotherm,0.54872,8,5.72,8,carnivore
Scomber scombrus,fish,swimming,ectotherm,0.0252,5,2.92,5,carnivore
Sphyraena argentea,fish,swimming,ectotherm,4.5,101,44,101,carnivore
Sphyraena barracuda,fish,swimming,ectotherm,26.56,5,43.89,5,carnivore
Squalinus cephalus,fish,swimming,ectotherm,0.0015,5,0.864,5,omnivore
Tetrapturus audax,fish,swimming,ectotherm,163,101,81,101,carnivore
Thunnus albacares,fish,swimming,ectotherm,9.41,11,74.88,11,carnivore
Thunnus albacares,fish,swimming,ectotherm,13.11,82,75,82,carnivore
Thunnus orientalis,fish,swimming,ectotherm,250,101,70,101,carnivore
Thunnus thynnus,fish,swimming,ectotherm,27.22,5,70.81,5,carnivore
Trachinus vipera,fish,swimming,ectotherm,0.0224,5,1.44,5,carnivore
Trigla sp,fish,swimming,ectotherm,0.21,5,4.72,5,carnivore
Trisopterus luscus,fish,swimming,ectotherm,0.0165,5,1.98,5,carnivore
Xiphias gladius,fish,swimming,ectotherm,98,101,97,101,carnivore
Balaenoptera musculus,mammal,swimming,endotherm,108400,11,37.08,11,carnivore
Delphinapterus leucas,mammal,swimming,endotherm,1380,56,22,59,carnivore
Delphinus delphis,mammal,swimming,endotherm,118,68,28.8,68,carnivore
Delphinus delphis,mammal,swimming,endotherm,95.32,11,37.08,11,carnivore
Enhydra lutris,mammal,swimming,endotherm,30,101,9,101,carnivore
Megaptera novaeangliae,mammal,swimming,endotherm,30000,101,27,101,carnivore
Megaptera novaeangliae,mammal,swimming,endotherm,30000,56,23.3,58,carnivore
Orcinus orca,mammal,swimming,endotherm,4100,101,48,101,carnivore
Orcinus orca,mammal,swimming,endotherm,4300,56,25,63,carnivore
Orcinus orca,mammal,swimming,endotherm,4300,56,55.44,99,carnivore
Physeter catodon,mammal,swimming,endotherm,10100,56,39,84,carnivore
Pseudorca crassidens,mammal,swimming,endotherm,1378.5,68,28.8,68,carnivore
Pusa hispida,mammal,swimming,endotherm,88.07,56,30,100,carnivore
Tursiops truncatus,mammal,swimming,endotherm,250,101,35,101,carnivore
Tursiops truncatus,mammal,swimming,endotherm,250,68,29.5,68,carnivore
Zalophus californianus,mammal,swimming,endotherm,158,56,40,97,carnivore
Aequipecten opercularis,mollusc,swimming,ectotherm,0.0143,50,0.9,72,omnivore
Illex illecebrosus,mollusc,swimming,ectotherm,0.6,61,5.04,61,carnivore
Loligo vulgaris,mollusc,swimming,ectotherm,0.35,72,7.2,72,carnivore
Octopus vulgaris,mollusc,swimming,ectotherm,17,101,40,101,carnivore
Sepia officinalis,mollusc,swimming,ectotherm,0.25,72,2.88,72,carnivore
Dermochelys coriacea,reptile,swimming,ectotherm,420,56,35.28,99,carnivore
