OBS,ID,SAMPL,AGE,SEX,HD,TT,DL,DB,CA,SG,ER,CL,PC
438,795,72,A,F,10,0,1,0,0,0,0,0,0
439,796,72,A,F,0,0,0,0,0,0,1,0,0
440,797,72,A,F,0,0,0,0,0,0,0,0,0
441,798,72,S,M,7,0,0,0,0,0,0,0,0
442,799,72,A,F,0,0,0,0,0,0,0,0,0
443,846,72,A,F,1,0,0,0,0,0,0,0,0
444,847,72,A,F,4,1,0,0,0,0,0,0,0
445,848,72,A,M,0,0,2,0,0,1,0,0,0
446,849,72,A,M,0,0,0,0,0,0,0,0,0
447,850,72,A,M,212,0,0,0,0,0,1,0,0
448,851,72,A,M,1,0,0,0,0,0,0,0,0
449,852,72,A,M,16,0,0,0,0,0,0,0,0
450,853,72,A,M,2,0,0,0,0,0,0,0,0
451,854,72,A,F,210,0,0,0,0,0,0,0,0
452,855,72,A,M,0,0,0,0,0,0,0,0,0
453,856,72,A,M,16,0,0,0,0,0,0,0,0
454,857,72,A,M,0,40,0,0,0,0,0,0,0
455,858,72,S,F,0,0,0,0,0,2,0,0,0
456,859,72,A,M,49,0,0,0,0,0,0,0,0
457,860,72,A,M,10,0,0,0,0,0,0,0,0
458,861,72,A,M,58,0,0,0,0,0,0,0,0
459,862,72,A,F,1,0,0,1,1,0,0,0,0
460,863,72,A,F,12,0,0,0,0,0,0,0,0
461,864,72,S,M,0,0,0,0,0,0,0,0,0
462,865,72,S,M,0,4,0,0,0,0,0,0,0
474,903,72,A,M,1,2,0,0,0,0,0,0,0
270,805,73,A,F,0,115,0,0,0,0,0,0,0
271,806,73,A,F,0,110,0,0,0,0,0,0,0
272,807,73,A,F,16,12,0,0,0,0,0,0,0
273,808,73,S,F,18,7,0,0,0,0,0,0,0
274,809,73,A,F,1,0,0,1,2,0,0,0,0
275,810,73,A,F,0,4,0,0,0,0,0,0,0
276,811,73,A,F,1,27,0,0,0,0,0,0,0
277,812,73,A,M,1,0,0,0,0,0,0,0,0
278,813,73,A,M,2,0,0,0,0,0,1,0,0
279,814,73,A,F,0,2,0,0,0,0,0,0,0
280,815,73,A,M,4,4,0,0,0,0,0,0,0
281,816,73,A,M,0,0,0,2,0,0,0,0,0
282,817,73,A,M,0,9,0,0,0,0,0,0,0
283,818,73,A,M,27,21,0,0,0,0,0,0,0
284,819,73,S,M,4,0,0,1,1,0,0,0,0
285,820,73,A,M,0,6,0,0,0,0,0,0,0
286,821,73,A,M,0,0,0,0,0,0,0,0,0
287,822,73,A,F,0,0,0,0,0,0,0,0,0
288,823,73,A,M,0,4,0,0,1,0,0,0,0
289,824,73,A,F,0,0,0,0,0,0,0,0,0
290,825,73,A,M,28,120,1,1,0,0,0,1,0
291,826,73,A,M,0,13,0,0,0,0,0,0,0
292,827,73,A,F,15,3,0,0,0,0,0,0,0
293,828,73,A,F,3,25,0,0,0,0,4,0,0
294,829,73,A,M,1,97,0,0,0,0,1,0,0
295,830,73,A,F,0,4,0,0,0,0,0,0,0
296,831,73,A,M,0,0,0,0,0,1,0,0,0
304,840,73,A,M,0,1,0,0,0,0,0,0,0
308,844,73,A,F,4,13,0,0,0,0,0,0,0
189,661,74,S,M,9,1,0,0,0,0,0,0,0
214,696,74,A,F,60,37,0,0,0,0,1,0,0
215,698,74,A,M,2,0,0,0,0,0,0,0,0
639,699,74,S,F,2,64,2,2,3,0,0,0,0
216,700,74,S,M,90,105,0,1,0,0,0,0,0
217,701,74,A,F,27,52,0,0,2,0,1,0,0
218,702,74,S,F,82,162,0,0,0,0,1,0,0
219,703,74,A,F,2,70,0,0,3,0,0,0,0
220,704,74,A,F,0,0,0,0,0,0,0,0,0
221,705,74,A,F,19,33,0,0,0,0,0,0,0
222,706,74,A,F,0,1,0,2,0,0,0,0,0
247,748,74,A,M,3,1,0,0,0,0,0,0,0
248,749,74,A,M,15,0,0,0,0,0,0,0,0
249,750,74,S,M,4,33,0,1,0,0,0,0,0
250,752,74,A,M,6,6,0,0,0,0,0,0,0
641,769,74,A,F,216,0,0,0,0,0,0,0,0
303,839,74,S,M,1,6,0,0,0,0,0,0,0
305,841,74,S,F,0,22,0,0,0,0,0,0,0
306,842,74,A,F,10,0,0,0,1,0,0,0,0
307,843,74,A,F,6,52,0,0,0,0,0,0,0
310,866,74,A,M,13,44,0,0,0,0,0,0,0
311,867,74,S,M,0,6,2,0,0,0,0,0,0
312,868,74,A,M,26,123,3,0,0,0,0,0,0
335,909,74,S,M,0,1,0,0,0,0,0,0,0
336,910,74,A,F,0,120,0,0,0,0,0,0,0
337,911,74,A,F,18,163,2,0,0,0,0,0,0
642,912,74,S,F,0,0,0,1,0,7,0,0,0
339,914,74,A,M,2,42,0,0,0,0,0,0,0
340,916,74,A,M,0,0,0,0,0,0,0,0,0
349,926,74,S,M,0,0,0,0,0,0,0,0,0
350,927,74,A,M,0,3,1,3,0,6,0,0,0
183,652,91,A,M,0,0,0,0,0,0,0,0,0
193,669,91,S,M,0,0,0,0,0,0,0,0,0
194,670,91,A,F,11,34,0,0,0,0,0,0,0
196,672,91,A,F,14,0,0,0,0,0,0,0,0
197,673,91,A,M,0,12,1,0,0,0,0,0,0
198,674,91,A,F,1,0,0,1,0,0,0,0,0
199,676,91,A,M,0,0,0,0,4,0,0,0,0
200,677,91,A,M,0,0,0,0,0,0,0,0,0
201,682,91,A,M,19,6,0,0,0,0,0,0,0
202,683,91,A,F,0,0,0,0,0,0,0,0,0
228,714,91,A,M,1,0,0,0,0,0,2,0,0
229,715,91,A,F,2,7,0,0,1,0,0,0,0
230,716,91,A,M,1,0,0,0,0,0,0,0,0
232,718,91,A,F,0,0,0,0,0,0,0,0,0
233,719,91,A,M,1,0,0,0,0,0,0,0,0
234,720,91,A,M,0,18,0,4,0,0,0,0,0
235,726,91,A,M,0,0,0,0,1,0,0,0,0
236,730,91,A,F,0,0,0,0,0,0,0,0,0
237,731,91,A,F,0,0,0,0,0,0,0,0,0
251,754,91,S,M,2,36,0,0,2,0,0,0,0
252,755,91,A,F,0,5,0,0,0,0,0,0,0
253,756,91,A,F,0,0,0,0,0,0,1,0,0
328,901,91,A,M,0,0,0,0,0,0,0,0,0
329,902,91,A,M,0,6,0,0,0,0,0,0,0
330,904,91,A,F,0,0,0,0,0,0,0,0,0
332,906,91,A,F,0,2,0,0,0,0,0,0,0
333,907,91,A,F,2,0,0,0,0,0,0,0,0
334,908,91,A,F,11,52,0,0,0,0,0,0,0
338,913,91,A,M,0,0,0,0,0,0,0,0,0
342,918,91,A,F,0,0,0,0,0,0,0,0,0
343,919,91,A,F,0,0,0,0,0,0,0,0,0
344,920,91,A,F,0,0,0,0,0,0,0,0,0
347,923,91,A,F,0,0,0,0,0,0,0,0,0
348,925,91,S,M,0,42,0,0,0,0,0,0,0
13,441,92,S,M,0,12,0,0,0,1,0,1,0
20,449,92,A,M,1,5,0,0,0,0,0,0,0
14,442,92,S,M,3,12,0,0,0,0,0,0,0
21,450,92,A,F,0,0,0,0,0,0,0,0,0
15,443,92,A,M,0,13,0,0,0,1,0,0,0
22,451,92,A,M,0,0,0,0,0,0,0,0,0
16,445,92,S,M,0,8,0,0,0,0,0,1,0
23,452,92,A,F,5,0,0,0,0,0,0,0,0
17,446,92,S,M,2,10,0,0,0,0,0,0,0
24,454,92,A,M,15,0,0,0,0,0,0,0,0
18,447,92,A,M,0,0,0,0,0,0,0,1,0
25,455,92,A,M,0,0,0,0,0,0,0,0,0
19,448,92,A,F,0,0,0,0,0,0,0,0,0
26,456,92,A,M,0,0,0,0,0,0,0,0,0
27,457,92,A,M,0,0,0,0,0,0,0,0,0
28,458,92,A,F,0,0,0,0,0,0,0,0,0
29,459,92,A,M,0,1,0,0,0,0,0,0,0
30,460,92,A,M,0,0,1,0,0,0,0,0,0
31,461,92,A,F,0,2,0,0,0,0,0,0,0
32,462,92,A,F,14,50,0,0,0,0,0,0,0
33,465,92,A,F,0,0,0,0,0,0,1,0,0
34,466,92,A,M,0,0,0,0,0,0,0,0,0
35,468,92,A,M,0,0,0,0,0,0,0,0,0
36,471,92,A,M,0,50,0,0,0,0,0,0,0
37,472,92,S,M,4,36,0,0,0,0,0,0,0
38,473,92,A,F,0,0,0,0,0,0,0,0,0
39,474,92,A,F,0,0,0,0,0,0,0,0,0
40,475,92,A,F,0,0,0,0,2,0,0,0,0
41,476,92,A,F,5,95,0,0,0,0,0,0,0
42,478,92,S,M,0,0,0,0,0,0,0,0,0
43,479,92,S,M,0,1,0,0,0,0,0,0,0
44,480,92,A,M,0,3,0,0,0,0,0,0,0
45,481,92,A,F,0,0,0,0,0,0,0,0,0
46,484,92,S,F,0,0,0,0,0,0,0,0,0
47,485,93,A,M,7,1,0,0,0,0,0,0,0
48,486,93,A,M,0,27,0,0,0,0,0,0,0
49,487,93,A,M,0,0,0,0,0,0,0,0,0
50,488,93,A,M,0,2,0,0,0,0,0,0,0
51,489,93,A,M,7,18,0,0,0,0,0,0,0
52,490,93,A,F,0,8,0,0,0,0,0,0,0
53,491,93,A,M,0,0,0,0,0,0,0,0,0
54,492,93,A,M,0,0,0,0,0,0,0,0,0
55,493,93,A,M,14,173,0,0,0,0,0,0,0
56,494,93,A,F,0,3,0,0,0,0,0,0,0
57,495,93,A,M,0,0,0,0,0,0,0,0,0
58,496,93,S,M,70,0,0,0,0,0,0,0,0
59,497,93,A,M,21,4,0,0,0,0,0,0,0
60,498,93,A,M,0,0,0,0,0,1,0,0,0
61,499,93,A,M,0,0,0,0,1,0,0,0,0
62,501,93,S,M,0,2,0,0,0,0,0,0,0
63,502,93,A,M,0,0,0,0,0,0,0,0,0
64,503,94,A,M,1,0,0,0,0,0,0,0,0
65,504,94,A,F,5,0,0,0,0,0,0,0,0
66,505,94,A,F,0,0,0,0,0,0,0,0,0
67,506,94,A,F,35,0,0,0,0,0,1,0,0
68,507,94,A,F,0,0,0,0,0,0,0,0,0
69,508,94,S,F,0,4,0,0,0,0,0,0,0
70,509,94,S,F,0,0,0,0,0,0,0,0,0
71,510,94,A,M,0,0,0,0,0,0,0,0,0
72,511,94,A,F,0,0,0,0,0,0,0,0,0
73,512,94,S,F,8,179,0,1,4,0,1,0,0
74,513,94,A,F,0,0,0,0,0,0,0,0,0
75,514,94,A,F,0,10,0,0,0,0,0,0,0
76,515,94,A,M,15,0,0,0,0,0,1,0,0
77,516,94,A,F,3,1,0,0,0,0,0,0,0
78,517,94,A,M,0,0,0,0,0,0,0,0,0
79,518,94,A,F,0,0,0,0,0,0,0,0,0
80,519,94,A,M,4,4,0,0,0,0,0,0,0
81,520,94,A,F,0,0,0,0,0,0,0,0,0
82,521,94,A,F,0,18,0,0,0,0,0,0,0
83,522,94,A,F,0,0,0,0,0,0,0,0,0
84,524,94,A,M,5,7,0,1,0,1,0,0,0
85,525,94,S,M,0,0,0,0,0,0,0,0,0
86,526,94,A,F,0,0,0,0,0,0,0,0,0
87,527,94,S,M,2,57,0,0,0,0,0,0,0
88,528,101,A,F,0,0,0,0,0,0,0,0,0
89,529,101,S,F,0,11,0,0,0,0,0,0,0
90,530,101,A,M,0,5,0,0,0,0,0,0,0
91,531,101,A,F,0,0,0,0,0,0,0,0,0
92,532,101,A,M,2,2,0,0,0,0,0,0,0
93,533,101,A,F,0,0,0,0,0,0,0,0,0
94,534,101,A,M,0,15,0,0,0,0,0,0,0
95,535,101,A,M,0,0,0,0,0,0,0,0,0
96,536,101,S,F,0,0,0,0,0,0,0,0,0
97,538,101,A,F,3,0,0,0,0,0,0,0,0
98,539,101,A,F,0,0,0,0,0,0,0,0,0
99,540,101,A,F,0,0,0,0,0,0,0,0,0
100,541,101,S,F,0,0,0,0,0,0,0,0,0
101,542,101,A,M,0,0,0,0,0,0,0,0,0
102,543,101,A,F,3,2,0,0,1,0,0,0,0
103,544,101,A,M,0,0,0,0,0,0,0,0,0
104,545,101,A,M,3,1,0,0,0,0,5,0,0
105,546,101,A,F,0,1,0,0,0,0,0,0,0
106,547,101,A,F,0,0,0,0,0,0,0,0,0
107,548,101,A,F,0,0,0,0,0,0,0,0,0
108,550,101,S,M,1,3,0,6,0,0,0,0,0
109,551,101,A,M,18,0,0,1,0,0,0,0,0
110,552,101,A,M,0,0,0,0,0,0,0,0,0
111,553,101,A,F,11,55,0,0,0,0,1,0,0
112,554,101,A,F,0,0,0,0,1,0,1,0,0
113,555,101,A,F,0,0,0,0,0,0,0,0,0
114,557,101,A,F,0,0,0,0,0,0,0,0,0
115,558,101,A,F,33,1,0,0,0,0,0,0,0
116,559,101,A,M,0,93,1,0,0,0,0,0,0
117,560,101,A,M,1,0,0,0,0,0,0,0,0
118,561,101,A,F,6,2,0,0,0,0,0,0,0
119,562,101,A,M,2,5,0,0,0,0,0,0,0
120,563,101,A,M,0,0,0,0,0,0,0,0,0
309,845,101,A,F,0,0,0,0,0,0,0,0,0
372,948,101,S,F,1,0,0,0,0,0,0,0,0
179,647,111,A,F,0,4,0,0,0,0,0,0,0
180,648,111,A,F,0,0,0,0,0,0,3,0,0
181,650,111,A,F,0,4,0,0,0,0,6,0,0
182,651,111,A,F,0,0,0,0,0,0,0,0,0
184,653,111,A,F,0,3,0,0,0,0,0,0,0
185,655,111,A,F,0,0,0,0,0,0,0,0,0
188,660,111,S,M,0,5,0,0,0,0,0,0,0
191,663,111,S,M,2,0,0,0,0,0,0,0,0
192,666,111,A,F,5,11,0,0,0,0,0,0,0
195,671,111,A,F,0,0,0,0,0,0,0,0,0
203,684,111,A,F,0,0,0,0,4,0,0,0,0
239,739,111,A,M,0,0,0,0,0,0,0,0,0
240,740,111,A,M,0,0,0,0,0,0,0,0,0
241,741,111,S,M,0,11,0,0,0,0,0,0,0
313,869,111,A,F,0,40,0,0,0,1,0,0,0
314,870,111,S,M,1,32,0,0,0,0,0,0,1
315,871,111,A,F,3,0,0,0,0,0,0,0,0
316,872,111,A,F,0,0,0,0,0,0,0,0,0
317,875,111,S,M,0,0,0,0,0,0,0,0,0
318,876,111,A,F,0,3,0,0,0,0,0,0,0
320,878,111,A,F,0,0,0,0,0,0,0,0,0
323,883,111,A,F,0,0,0,0,0,0,0,0,0
324,884,111,S,F,8,0,0,0,0,0,0,0,0
341,917,111,A,M,0,3,0,0,0,0,0,0,0
346,922,111,A,M,0,0,0,0,0,0,0,0,0
364,941,111,A,F,43,0,0,0,0,0,0,0,0
365,942,111,A,M,0,3,0,0,0,0,0,0,0
366,942,111,A,M,0,3,0,0,0,0,0,0,0
367,943,111,A,F,0,0,0,0,0,0,0,0,0
368,944,111,A,M,0,1,0,0,0,0,0,0,0
190,662,112,A,F,17,30,0,0,0,0,0,0,1
212,693,112,S,M,0,29,3,0,0,0,0,0,0
213,695,112,A,M,0,0,0,8,0,0,0,0,0
238,738,112,A,F,0,12,0,0,0,0,6,0,0
242,742,112,A,M,0,0,0,0,0,0,0,0,0
243,744,112,A,M,0,0,0,0,0,0,0,0,0
244,745,112,S,F,0,140,0,0,0,0,0,0,0
319,877,112,A,F,0,0,0,0,0,0,0,0,0
321,879,112,A,M,6,0,0,0,0,0,0,0,0
322,880,112,S,M,3,14,0,0,0,0,0,0,0
345,921,112,A,M,1,0,0,0,0,0,0,0,0
396,975,112,S,F,0,0,0,0,2,0,0,0,0
397,975,112,S,F,0,0,0,0,2,0,0,0,0
121,565,121,S,F,0,0,0,0,0,0,0,0,0
122,566,121,A,F,18,0,0,0,0,0,1,0,0
123,567,121,S,M,0,0,0,0,0,0,9,0,0
124,568,121,A,M,0,0,0,0,0,0,0,0,0
125,569,121,A,M,0,0,0,0,0,0,0,0,0
126,570,121,A,M,0,0,0,0,0,0,1,0,0
127,571,121,A,F,0,0,0,0,0,0,0,0,0
128,572,121,A,F,0,0,0,0,0,0,0,0,0
129,573,121,A,F,0,0,0,0,0,0,0,0,0
130,574,121,S,M,0,0,0,0,0,0,0,0,0
131,575,121,A,F,1,0,0,0,0,0,0,0,0
132,576,121,A,M,0,12,0,1,0,0,0,5,0
133,577,121,A,F,0,0,0,0,0,0,1,0,0
134,578,121,A,M,1,0,0,0,0,0,0,0,0
135,581,121,A,M,1,0,0,0,0,0,0,0,0
136,582,121,A,M,0,1,0,1,0,0,0,0,0
137,583,121,A,M,0,0,0,0,0,0,0,0,0
138,584,121,A,M,7,0,0,0,0,0,0,0,0
139,585,121,A,M,0,5,0,0,0,0,0,0,0
140,586,121,A,F,11,21,1,0,0,0,0,0,0
141,587,121,A,M,0,0,0,0,0,0,0,0,0
142,588,121,A,M,2,0,0,0,0,0,1,1,0
143,590,121,A,F,0,0,0,0,0,0,0,0,0
144,591,121,A,F,36,12,0,0,0,0,0,0,0
145,593,121,A,F,0,0,0,0,0,0,0,0,0
146,594,121,A,M,0,0,0,0,0,0,0,0,0
147,595,121,A,F,0,7,0,0,0,0,0,0,0
148,596,121,A,M,0,0,0,0,0,0,0,0,0
149,597,121,A,F,3,0,0,0,0,0,0,0,0
150,598,121,S,M,0,0,0,0,0,0,1,0,0
151,599,121,A,F,0,0,0,0,0,0,0,0,0
152,614,122,A,M,1,0,0,0,4,0,0,0,0
153,615,122,A,M,0,28,0,0,0,0,0,0,0
154,616,122,A,F,0,0,0,2,0,0,0,1,0
155,618,122,A,F,0,0,0,0,0,0,0,0,0
156,619,122,A,M,0,0,0,0,0,0,0,0,0
157,620,122,A,M,0,0,0,0,0,0,0,0,0
158,621,122,S,M,0,2,1,0,0,0,0,0,0
159,622,122,A,M,1,13,0,0,0,0,0,0,1
160,623,122,A,F,0,0,0,0,0,0,1,0,0
161,624,122,A,F,0,0,0,0,0,0,1,0,0
162,628,122,A,M,0,0,0,0,0,0,0,0,0
163,629,122,A,M,0,0,0,0,0,0,0,0,0
164,630,122,A,F,2,0,0,0,0,0,0,0,0
165,631,122,A,F,0,0,0,1,1,0,0,0,0
166,633,122,A,M,0,0,0,0,0,0,0,0,0
167,634,122,S,M,0,1,0,0,0,0,1,0,0
168,635,122,A,M,1,0,0,0,0,0,4,0,0
169,636,122,A,M,0,0,0,0,0,0,0,0,0
170,637,122,A,M,0,0,0,0,0,0,0,0,0
171,638,122,A,M,0,0,0,0,0,0,0,0,0
172,639,122,A,M,0,0,0,0,0,0,0,0,0
173,640,122,A,F,0,0,0,0,0,0,0,0,0
174,641,122,A,F,0,0,0,0,0,0,2,0,0
175,642,122,A,F,0,0,0,0,0,0,2,0,0
176,643,122,A,F,0,0,0,0,0,0,0,0,0
177,644,122,A,F,0,0,0,0,0,0,2,0,0
178,645,122,A,F,0,0,0,0,0,0,1,0,0
351,928,131,A,M,0,6,0,0,0,0,2,0,0
352,929,131,A,F,0,22,0,0,0,0,0,0,0
353,930,131,A,M,0,0,0,0,1,0,1,0,0
354,931,131,A,M,0,0,0,0,0,0,1,0,0
355,932,131,A,F,3,0,0,0,0,0,6,0,0
356,933,131,A,M,0,0,0,0,0,0,8,0,0
357,934,131,S,M,0,0,0,0,0,0,3,0,0
358,935,131,A,F,0,0,0,0,0,0,0,0,0
359,936,131,A,M,0,7,0,0,0,0,0,0,0
360,937,131,A,F,0,3,0,0,0,0,0,0,0
361,938,131,A,M,0,0,0,0,0,0,4,0,0
362,939,131,A,F,0,0,0,0,0,0,0,0,0
363,940,131,A,F,0,0,0,0,0,0,0,0,0
369,945,131,A,F,0,0,0,0,0,0,0,0,0
370,946,131,A,F,0,0,0,0,0,0,3,0,0
371,947,131,A,M,2,1,0,0,0,0,1,0,0
373,952,131,S,F,0,0,0,0,0,0,7,0,0
378,957,131,A,M,0,0,0,0,0,0,0,0,0
379,957,131,A,M,0,0,0,0,0,0,0,0,0
384,963,131,A,F,0,0,0,0,0,0,4,0,0
385,963,131,A,F,0,0,0,0,0,0,4,0,0
390,969,131,A,F,5,0,0,0,0,0,2,0,0
391,970,131,A,M,0,0,0,0,0,0,0,0,0
392,971,131,A,F,9,0,0,0,1,0,2,0,0
399,977,131,A,M,0,0,0,0,1,0,25,0,0
400,978,131,S,M,0,0,0,0,0,0,4,0,0
402,980,131,A,M,0,2,0,0,0,0,2,0,0
405,983,131,A,F,0,2,0,0,0,0,5,0,0
331,905,132,A,F,0,0,0,0,0,0,2,0,0
374,953,132,A,M,0,0,0,0,0,0,8,0,0
375,954,132,A,F,0,61,0,0,0,0,2,0,0
376,955,132,S,M,0,2,0,0,0,0,2,0,0
377,956,132,A,F,0,0,0,0,0,0,1,0,0
380,958,132,A,F,0,0,0,0,0,0,0,0,0
381,959,132,A,M,0,0,0,0,0,0,0,0,0
382,960,132,S,F,0,0,0,0,0,0,0,0,0
383,961,132,A,M,0,14,0,0,0,0,0,0,0
386,964,132,A,M,0,0,0,0,0,0,0,0,0
387,965,132,S,M,0,1,0,0,0,0,0,0,0
388,966,132,A,M,0,2,0,1,0,0,1,0,0
389,967,132,A,M,0,3,0,0,4,0,1,0,0
393,972,132,A,F,0,0,0,0,1,0,0,0,0
394,973,132,A,F,0,0,0,0,0,0,1,0,0
395,974,132,A,M,0,0,0,0,0,0,0,0,0
398,976,132,A,F,0,3,0,0,0,0,0,0,0
401,979,132,A,F,2,9,0,0,0,0,2,0,0
403,981,132,A,F,0,22,0,0,1,0,8,0,0
404,982,132,A,F,0,0,0,0,0,0,0,0,0
406,985,132,S,M,0,0,0,0,0,0,5,0,0
407,986,132,A,M,2,5,0,0,0,0,0,0,0
408,989,132,A,F,0,0,0,0,1,0,2,0,0
409,990,132,A,M,0,2,0,0,0,0,0,0,0
410,991,132,A,F,0,0,0,0,0,0,0,0,0
411,992,132,A,M,0,1,0,0,0,0,0,0,0
412,993,132,A,M,0,0,0,0,0,0,0,0,0
